"Name","n"
"Tiger Woods",11
"Michael Jordan",6
"Floyd Mayweather",4
"Cristiano Ronaldo",2
"Michael Schumacher",2
"Mike Tyson",2
"Evander Holyfield",1
"Lionel Messi",1
"Roger Federer",1
